name,layers,coeff,lambda_attractor,sigma,attractor_scale,lambda_flow,num_epochs,forget_rouge1,retain_rouge1,factual_rouge1,forget_rougeL,retain_rougeL,factual_rougeL,forget_ppl,retain_ppl,factual_ppl
A1_c2_L19,[19],2.0,1.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
A2_c3_L19,[19],3.0,1.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
A3_c4_L19,[19],4.0,1.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
A4_c5_L19,[19],5.0,1.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
A5_c6_L19,[19],6.0,1.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
B1_c2_L19_22,"[19, 22]",2.0,1.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
B2_c3_L19_22,"[19, 22]",3.0,1.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
B3_c2_L15_19_22,"[15, 19, 22]",2.0,1.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
B4_c3_L15_19_22,"[15, 19, 22]",3.0,1.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
B5_c4_L15_19_22,"[15, 19, 22]",4.0,1.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
C1_c3_L19_a2,[19],3.0,2.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
C2_c4_L19_a2,[19],4.0,2.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
C3_c3_L19_as1.5,[19],3.0,1.0,1.0,1.5,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
C4_c3_L19_as2,[19],3.0,1.0,1.0,2.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
C5_c4_L15_19_22_a2,"[15, 19, 22]",4.0,2.0,1.0,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
D1_c3_L19_s0.7,[19],3.0,1.0,0.7,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
D2_c3_L19_s0.5,[19],3.0,1.0,0.5,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
D3_c4_L19_s0.7,[19],4.0,1.0,0.7,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
D4_c3_L19_22_s0.7,"[19, 22]",3.0,1.0,0.7,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
D5_c4_L15_19_22_s0.7,"[15, 19, 22]",4.0,1.0,0.7,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
E1_c3_L19_lf0.05,[19],3.0,1.0,1.0,1.0,0.05,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
E2_c4_L19_lf0.05,[19],4.0,1.0,1.0,1.0,0.05,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
E3_c3_L15_19_22_lf0.05,"[15, 19, 22]",3.0,1.0,1.0,1.0,0.05,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
F1_c3_L19_e30,[19],3.0,1.0,1.0,1.0,0.1,30,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
F2_c4_L19_e30,[19],4.0,1.0,1.0,1.0,0.1,30,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
F3_c3_L15_19_22_e30,"[15, 19, 22]",3.0,1.0,1.0,1.0,0.1,30,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
G1_c3_L19_s0.7_a2,[19],3.0,2.0,0.7,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
G2_c4_L19_s0.7_a2,[19],4.0,2.0,0.7,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
G3_c3_L19_22_s0.7_a2,"[19, 22]",3.0,2.0,0.7,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
G4_c4_L19_22_s0.7_a2,"[19, 22]",4.0,2.0,0.7,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
G5_c3_L15_19_22_s0.7_a2,"[15, 19, 22]",3.0,2.0,0.7,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
H1_c4_L15_19_22_s0.7_a2_lf0.05,"[15, 19, 22]",4.0,2.0,0.7,1.0,0.05,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
H2_c5_L19_s0.7_a2,[19],5.0,2.0,0.7,1.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
H3_c4_L19_as2_s0.7,[19],4.0,1.0,0.7,2.0,0.1,20,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
H4_c3_L15_19_22_a2_e30,"[15, 19, 22]",3.0,2.0,1.0,1.0,0.1,30,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
H5_c4_L19_22_a2_e30,"[19, 22]",4.0,2.0,1.0,1.0,0.1,30,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
