name,layers,coeff,num_epochs,lr,positions,use_harmful,n_train,forget_rouge1,retain_rouge1,factual_rouge1,forget_rougeL,retain_rougeL,factual_rougeL,forget_ppl,retain_ppl,factual_ppl
G1_L14_c2,[14],2.0,20,0.01,-1,True,128,0.3526,0.4086,0.8335,0.2765,0.3187,0.8335,18166.0,7034.9,2302.1
G1_L15_c2,[15],2.0,20,0.01,-1,True,128,0.2847,0.4152,0.7684,0.2212,0.3205,0.7684,21544.9,7178.2,2411.7
G1_L16_c2,[16],2.0,20,0.01,-1,True,128,0.377,0.4289,0.8329,0.2904,0.3247,0.8265,19344.3,7016.8,2382.7
G1_L17_c2,[17],2.0,20,0.01,-1,True,128,0.3846,0.4085,0.8454,0.2929,0.3143,0.8404,19224.4,7033.9,2281.3
G1_L18_c2,[18],2.0,20,0.01,-1,True,128,0.4239,0.4325,0.9204,0.3184,0.3357,0.9165,15571.9,6025.8,2099.1
G1_L19_c2,[19],2.0,20,0.01,-1,True,128,0.4305,0.4461,0.9247,0.3175,0.3415,0.9227,19029.0,7430.4,2281.0
G1_L20_c2,[20],2.0,20,0.01,-1,True,128,0.4032,0.4629,0.9085,0.3044,0.3625,0.9065,22789.0,7459.8,2554.7
G1_L21_c2,[21],2.0,20,0.01,-1,True,128,0.409,0.4468,0.8873,0.314,0.3428,0.8853,23663.3,7601.4,2562.1
G1_L22_c2,[22],2.0,20,0.01,-1,True,128,0.4095,0.4273,0.8947,0.3043,0.3308,0.8878,19888.9,7325.6,2536.2
G2_L19_c1,[19],1.0,20,0.01,-1,True,128,0.4841,0.4629,0.9718,0.3643,0.3532,0.9698,13137.1,7195.8,2190.1
G2_L19_c3,[19],3.0,20,0.01,-1,True,128,0.3337,0.4284,0.8091,0.2539,0.3291,0.8071,26523.2,6893.1,2573.6
G2_L19_c4,[19],4.0,20,0.01,-1,True,128,0.2215,0.4087,0.6396,0.1813,0.3139,0.6396,39896.1,7184.2,2828.0
G2_L19_c5,[19],5.0,20,0.01,-1,True,128,0.1312,0.353,0.4473,0.1128,0.2812,0.4399,60756.7,7072.8,3164.6
G2_L19_c6,[19],6.0,20,0.01,-1,True,128,0.0629,0.2906,0.3324,0.0569,0.2401,0.328,103757.5,8064.0,4021.3
G2_L22_c1,[22],1.0,20,0.01,-1,True,128,0.4607,0.4406,0.9748,0.3453,0.3384,0.9698,13752.5,7224.7,2269.3
G2_L22_c3,[22],3.0,20,0.01,-1,True,128,0.2925,0.3715,0.6927,0.2253,0.2847,0.6907,27173.3,6933.3,2624.6
G2_L22_c4,[22],4.0,20,0.01,-1,True,128,0.1971,0.3126,0.5497,0.1639,0.2447,0.5477,44770.9,7348.7,2996.7
G2_L22_c5,[22],5.0,20,0.01,-1,True,128,0.1054,0.2446,0.419,0.0876,0.1929,0.4161,70656.7,7378.4,3344.2
G2_L22_c6,[22],6.0,20,0.01,-1,True,128,0.0858,0.2108,0.2935,0.0731,0.1707,0.2893,89250.1,7180.3,3461.8
G3_L22_c2_lr0001,[22],2.0,20,0.001,-1,True,128,0.4116,0.4316,0.9304,0.3128,0.3319,0.9274,19051.2,7233.2,2359.6
G3_L22_c2_lr0005,[22],2.0,20,0.005,-1,True,128,0.4274,0.4356,0.886,0.3176,0.3313,0.8811,19276.9,7013.0,2448.0
G3_L22_c2_lr005,[22],2.0,20,0.05,-1,True,128,0.4064,0.4255,0.8671,0.3032,0.3235,0.8621,19745.6,7309.2,2483.6
G3_L22_c2_lr01,[22],2.0,20,0.1,-1,True,128,0.4093,0.4323,0.9087,0.306,0.3339,0.9018,19710.7,7602.6,2583.5
G3_L19_c3_lr0005,[19],3.0,20,0.005,-1,True,128,0.3595,0.4497,0.8387,0.2734,0.3421,0.8367,26711.9,7254.7,2443.8
G3_L19_c3_lr005,[19],3.0,20,0.05,-1,True,128,0.3434,0.4352,0.8272,0.2645,0.3385,0.8252,26370.6,7066.3,2528.4
G4_L22_c2_noharm,[22],2.0,20,0.01,-1,False,128,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
G4_L19_c3_noharm,[19],3.0,20,0.01,-1,False,128,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
G4_L19_c4_noharm,[19],4.0,20,0.01,-1,False,128,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
G5_L19_c4_lr005,[19],4.0,20,0.05,-1,True,128,0.209,0.3977,0.6222,0.1719,0.3098,0.6168,39461.6,6978.6,2853.7
G5_L19_c3_noharm_lr005,[19],3.0,20,0.05,-1,False,128,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
